Idx,Losses,AccTest,AccTrain
0,0.64663506,0.6319444,0.63734293
1,0.60508907,0.6909722,0.7217235
2,0.5851986,0.7013889,0.7109515
3,0.57234454,0.71875,0.72890484
4,0.56360346,0.6944444,0.7145422
5,0.54742426,0.7256944,0.72890484
6,0.53962797,0.7222222,0.7351885
7,0.53324693,0.7430556,0.7414722
8,0.52696913,0.7152778,0.7333932
9,0.51743734,0.71875,0.7387792
10,0.511836,0.7291667,0.7459605
11,0.51474184,0.71875,0.74236983
12,0.50872695,0.7395833,0.7540395
13,0.50437164,0.7291667,0.7612208
14,0.49403763,0.75,0.7639138
15,0.4961031,0.7569444,0.7719928
16,0.48817495,0.7395833,0.76570916
17,0.48578396,0.7291667,0.7675045
18,0.500924,0.7534722,0.7719928
19,0.48774508,0.7708333,0.7800718
20,0.49088877,0.7361111,0.7666068
21,0.48033255,0.7534722,0.7809695
22,0.47668102,0.7534722,0.7827648
23,0.47352618,0.7361111,0.7782765
24,0.47812077,0.7430556,0.77109516
25,0.46287134,0.75,0.7800718
26,0.45944986,0.7604167,0.7809695
27,0.45882785,0.7430556,0.7827648
28,0.4613842,0.7708333,0.7836625
29,0.45786467,0.7534722,0.7809695
30,0.4666016,0.7569444,0.78186715
31,0.45433858,0.7673611,0.7836625
32,0.45919853,0.7569444,0.78456014
33,0.46429124,0.7465278,0.79263914
34,0.44797787,0.7638889,0.7944345
35,0.45922446,0.75,0.7935368
36,0.44717413,0.75,0.7881508
37,0.44179377,0.7604167,0.7962298
38,0.4417928,0.7777778,0.79533213
39,0.43904105,0.7638889,0.7962298
40,0.4535672,0.7326389,0.77648115
41,0.45674208,0.7395833,0.77917415
42,0.4343942,0.75,0.7917415
43,0.42587128,0.7673611,0.79533213
44,0.4219844,0.7847222,0.8034111
45,0.4268708,0.7534722,0.7989228
46,0.42475608,0.7743056,0.8025135
47,0.42018574,0.7881944,0.8114901
48,0.43216392,0.7777778,0.7998205
49,0.41670796,0.7465278,0.80969477
50,0.41584605,0.75,0.81597847
51,0.41369224,0.7569444,0.8043088
52,0.42498443,0.7638889,0.8078995
53,0.42248827,0.75,0.81238776
54,0.41767102,0.7534722,0.80969477
55,0.41301298,0.7569444,0.8231598
56,0.42086294,0.75,0.81597847
57,0.4110721,0.7673611,0.8168761
58,0.41168422,0.7569444,0.8195691
59,0.39707896,0.7569444,0.8258528
60,0.41726416,0.7569444,0.81867146
61,0.40416703,0.7673611,0.83482945
62,0.398089,0.7638889,0.8357271
63,0.41446388,0.7638889,0.8105925
64,0.39242953,0.7673611,0.8312388
65,0.3982858,0.7569444,0.8249551
66,0.41785523,0.7604167,0.82405746
67,0.40489033,0.7777778,0.8285458
68,0.39407134,0.7361111,0.82675046
69,0.39638597,0.7604167,0.84829444
70,0.40315413,0.7673611,0.8312388
71,0.39068648,0.7604167,0.8285458
72,0.40113983,0.7569444,0.8231598
73,0.37771222,0.7465278,0.8473968
74,0.40791565,0.7465278,0.82136446
75,0.3869805,0.7326389,0.83482945
76,0.37276608,0.7569444,0.8393178
77,0.38075188,0.7534722,0.8384201
78,0.3785436,0.75,0.84560144
79,0.3779825,0.7395833,0.8491921
80,0.38241866,0.7395833,0.84560144
81,0.375423,0.7465278,0.84829444
82,0.37691352,0.71875,0.85098743
83,0.3623357,0.7604167,0.86535007
84,0.35910565,0.75,0.8563734
85,0.36685944,0.7395833,0.8464991
86,0.37119913,0.7638889,0.8500898
87,0.35812315,0.7638889,0.8473968
88,0.3669923,0.7534722,0.8438061
89,0.35669887,0.7361111,0.8635548
90,0.35736352,0.7395833,0.8599641
91,0.3670155,0.7534722,0.8608618
92,0.35477513,0.7534722,0.85368043
93,0.34442577,0.7256944,0.86265707
94,0.34283447,0.7534722,0.86804307
95,0.3732818,0.7361111,0.8635548
96,0.35649067,0.7708333,0.8563734
97,0.3531357,0.75,0.8644524
98,0.34507847,0.7430556,0.8662478
99,0.33249766,0.7534722,0.8671454
