Idx,Losses,AccTest,AccTrain
0,0.64770335,0.6319444,0.63734293
1,0.61238414,0.7256944,0.7307002
2,0.5984461,0.7013889,0.7172352
3,0.58722097,0.7013889,0.71813285
4,0.579894,0.6736111,0.7064632
5,0.5748475,0.7326389,0.7307002
6,0.5688521,0.6944444,0.7271095
7,0.56621504,0.7326389,0.7360862
8,0.56158274,0.71875,0.7280072
9,0.55685574,0.7361111,0.73159784
10,0.55414206,0.7222222,0.7324955
11,0.5524614,0.7256944,0.73698384
12,0.55400443,0.7222222,0.7450628
13,0.5551631,0.7013889,0.71813285
14,0.54835814,0.7326389,0.7333932
15,0.5370971,0.71875,0.7405745
16,0.54106295,0.7361111,0.7450628
17,0.53126085,0.7256944,0.7567325
18,0.5316631,0.71875,0.7594255
19,0.5465143,0.7395833,0.7522442
20,0.5226545,0.7326389,0.7513465
21,0.5188056,0.71875,0.7504488
22,0.5176822,0.71875,0.7594255
23,0.5194499,0.7291667,0.7692998
24,0.5195652,0.7291667,0.76570916
25,0.5217036,0.7222222,0.7612208
26,0.5224639,0.7256944,0.7585278
27,0.51386815,0.7291667,0.7701975
28,0.5102936,0.7256944,0.7692998
29,0.5103636,0.7395833,0.77378815
30,0.5126787,0.7222222,0.7675045
31,0.5039504,0.7222222,0.7666068
32,0.5017351,0.7152778,0.7746858
33,0.5023971,0.7118056,0.7692998
34,0.49929827,0.7222222,0.7782765
35,0.4992711,0.7361111,0.7728905
36,0.5016225,0.7326389,0.77109516
37,0.49547747,0.7326389,0.77378815
38,0.49441037,0.7361111,0.78186715
39,0.5007226,0.7361111,0.7863555
40,0.5039743,0.7256944,0.7800718
41,0.4908327,0.7361111,0.7827648
42,0.4793819,0.7361111,0.78725314
43,0.4997729,0.7256944,0.76840216
44,0.4807251,0.7118056,0.7890485
45,0.4716127,0.7465278,0.79533213
46,0.47300953,0.7291667,0.7881508
47,0.48000973,0.7118056,0.79263914
48,0.47888404,0.7256944,0.7836625
49,0.47180778,0.7465278,0.7962298
50,0.47177804,0.7291667,0.7935368
51,0.4621088,0.7326389,0.7890485
52,0.4667354,0.7222222,0.7962298
53,0.48156804,0.7222222,0.7755835
54,0.49254006,0.7430556,0.77109516
55,0.46631128,0.7430556,0.79533213
56,0.4598581,0.7291667,0.7971275
57,0.4558392,0.7291667,0.8034111
58,0.44968036,0.7673611,0.7989228
59,0.44413164,0.7569444,0.8078995
60,0.45509073,0.71875,0.8007181
61,0.4600744,0.75,0.80700177
62,0.45336962,0.7361111,0.8043088
63,0.4518715,0.7361111,0.8087971
64,0.45351464,0.7604167,0.8078995
65,0.45056364,0.7534722,0.8105925
66,0.44716182,0.7361111,0.8061041
67,0.44893888,0.7534722,0.7962298
68,0.4377954,0.7604167,0.8105925
69,0.45784187,0.7291667,0.8025135
70,0.4587329,0.7326389,0.7971275
71,0.45084196,0.71875,0.8141831
72,0.43683383,0.7361111,0.8105925
73,0.44781455,0.7152778,0.82136446
74,0.44627017,0.7326389,0.80700177
75,0.42821532,0.7326389,0.82944345
76,0.42976546,0.7326389,0.8141831
77,0.427515,0.7465278,0.82675046
78,0.4276832,0.7673611,0.81867146
79,0.42973337,0.7222222,0.82675046
80,0.42627653,0.7534722,0.8168761
81,0.4263504,0.7361111,0.82136446
82,0.41973257,0.7291667,0.82944345
83,0.4141274,0.7395833,0.8258528
84,0.4193418,0.7291667,0.8357271
85,0.40993524,0.7222222,0.8393178
86,0.42444357,0.7395833,0.8105925
87,0.4266098,0.71875,0.82944345
88,0.4217809,0.7361111,0.8222621
89,0.4365465,0.7604167,0.80700177
90,0.41685697,0.7430556,0.82675046
91,0.4128757,0.7361111,0.8330341
92,0.40474057,0.7326389,0.8366248
93,0.41196543,0.7256944,0.8303411
94,0.4014867,0.7326389,0.8357271
95,0.40456358,0.7326389,0.8464991
96,0.4044268,0.71875,0.8312388
97,0.3986753,0.7222222,0.8438061
98,0.40809903,0.7465278,0.8357271
99,0.4005108,0.7430556,0.8411131
