Idx,Losses,AccTest,AccTrain
0,0.64733624,0.6319444,0.63734293
1,0.6248907,0.6354167,0.6409336
2,0.6177162,0.6527778,0.6382406
3,0.61002636,0.6527778,0.6696589
4,0.60743034,0.625,0.6615799
5,0.6020959,0.6041667,0.64901257
6,0.60276127,0.6076389,0.6427289
7,0.5966375,0.6319444,0.67055655
8,0.5938811,0.6527778,0.67594254
9,0.5933911,0.6631944,0.68402153
10,0.58773667,0.6875,0.6912029
11,0.58026695,0.6770833,0.69299823
12,0.5769456,0.6493056,0.6741472
13,0.56987154,0.6631944,0.70197487
14,0.56677336,0.6597222,0.7028725
15,0.56271684,0.6770833,0.6965889
16,0.5633338,0.6909722,0.6912029
17,0.5604721,0.65625,0.6947935
18,0.55909526,0.6666667,0.6992819
19,0.55596143,0.6805556,0.6983842
20,0.5539776,0.7118056,0.7037702
21,0.5506377,0.6875,0.7055655
22,0.5465346,0.7118056,0.7145422
23,0.5418369,0.6944444,0.7217235
24,0.5435768,0.6770833,0.7055655
25,0.5451909,0.6944444,0.71543986
26,0.54417247,0.6770833,0.7163375
27,0.5435541,0.6875,0.7136445
28,0.5381429,0.7013889,0.7253142
29,0.5363162,0.6944444,0.7163375
30,0.53695226,0.7256944,0.7280072
31,0.5341538,0.7013889,0.7190305
32,0.5287754,0.7083333,0.73159784
33,0.5330919,0.6840278,0.72082585
34,0.5278767,0.7222222,0.7360862
35,0.5293752,0.6770833,0.73159784
36,0.52830595,0.7222222,0.7253142
37,0.5280724,0.7256944,0.7324955
38,0.5215197,0.6909722,0.7253142
39,0.5154475,0.7083333,0.74236983
40,0.5244542,0.6979167,0.7271095
41,0.5271079,0.7326389,0.7333932
42,0.5178605,0.7118056,0.7450628
43,0.5169611,0.6944444,0.7271095
44,0.5148643,0.7256944,0.73429084
45,0.5176461,0.7152778,0.7351885
46,0.5122835,0.7048611,0.7459605
47,0.5159383,0.7152778,0.74236983
48,0.5144316,0.71875,0.7459605
49,0.51240754,0.7256944,0.7504488
50,0.5169525,0.7118056,0.74236983
51,0.51460963,0.7395833,0.7486535
52,0.5029924,0.7222222,0.76032317
53,0.49849033,0.7222222,0.7549372
54,0.5005744,0.7256944,0.7513465
55,0.50575787,0.7326389,0.7468582
56,0.5057112,0.6909722,0.7504488
57,0.49449992,0.7256944,0.7621185
58,0.49582398,0.71875,0.7387792
59,0.49496597,0.7326389,0.7648115
60,0.49024478,0.71875,0.7612208
61,0.4946282,0.7222222,0.7594255
62,0.49334186,0.7083333,0.76301616
63,0.4948262,0.7152778,0.76570916
64,0.500792,0.7291667,0.7639138
65,0.49258855,0.7326389,0.7639138
66,0.4865973,0.7256944,0.7639138
67,0.4847707,0.7256944,0.7719928
68,0.4855691,0.7430556,0.7746858
69,0.4817808,0.7291667,0.7585278
70,0.4772454,0.7083333,0.7585278
71,0.49211705,0.7326389,0.7648115
72,0.48453498,0.7118056,0.76570916
73,0.4784597,0.7256944,0.76840216
74,0.47775766,0.71875,0.76301616
75,0.4791919,0.7152778,0.7719928
76,0.4755862,0.7395833,0.7719928
77,0.46785563,0.71875,0.7782765
78,0.466613,0.7256944,0.7782765
79,0.4684182,0.7222222,0.7854578
80,0.4699098,0.7222222,0.7782765
81,0.4755462,0.7152778,0.7800718
82,0.46520415,0.7222222,0.77917415
83,0.4613105,0.7083333,0.7782765
84,0.4672775,0.7152778,0.7719928
85,0.45963904,0.7465278,0.78186715
86,0.45952913,0.7256944,0.7800718
87,0.46139422,0.6909722,0.7809695
88,0.4732627,0.7118056,0.77109516
89,0.46962976,0.7256944,0.7800718
90,0.47103778,0.7118056,0.78456014
91,0.4600938,0.71875,0.78456014
92,0.45823693,0.7013889,0.7917415
93,0.45855567,0.7152778,0.79263914
94,0.4640767,0.7326389,0.79263914
95,0.4704233,0.7118056,0.7782765
96,0.45166728,0.7395833,0.7971275
97,0.45654246,0.7222222,0.7854578
98,0.45737225,0.71875,0.7836625
99,0.44876167,0.7222222,0.7998205
