Idx,Losses,AccTest,AccTrain
0,0.6265145,0.6631944,0.65709156
1,0.6022377,0.6527778,0.6741472
2,0.59249336,0.6875,0.7118492
3,0.5897756,0.6840278,0.7145422
4,0.5878271,0.6875,0.7172352
5,0.5816626,0.6875,0.7163375
6,0.5766284,0.6770833,0.7163375
7,0.57444906,0.6875,0.7145422
8,0.5731639,0.6909722,0.7217235
9,0.5697223,0.6805556,0.7226212
10,0.5685919,0.6805556,0.71543986
11,0.56735575,0.6805556,0.72351885
12,0.5675642,0.6805556,0.7298025
13,0.5671974,0.6736111,0.7298025
14,0.56610614,0.6805556,0.7253142
15,0.564556,0.6909722,0.7244165
16,0.56320924,0.6909722,0.7244165
17,0.55991787,0.7118056,0.7298025
18,0.5584028,0.6909722,0.7226212
19,0.5601478,0.6909722,0.72351885
20,0.5606377,0.6909722,0.7244165
21,0.5590704,0.6840278,0.7324955
22,0.55751985,0.6944444,0.7271095
23,0.55899554,0.7013889,0.7271095
24,0.56001794,0.6944444,0.7333932
25,0.5544164,0.6979167,0.7351885
26,0.5502729,0.6840278,0.7351885
27,0.5508186,0.6875,0.72621185
28,0.5485036,0.6875,0.7414722
29,0.5469298,0.6840278,0.7324955
30,0.54347634,0.6840278,0.73698384
31,0.542151,0.6944444,0.7378815
32,0.5442164,0.6840278,0.7360862
33,0.54593164,0.6909722,0.74236983
34,0.5454886,0.6840278,0.7324955
35,0.5465263,0.6909722,0.7441652
36,0.54743767,0.6944444,0.7459605
37,0.5430195,0.6875,0.73698384
38,0.5420063,0.6840278,0.73159784
39,0.5425771,0.6840278,0.7360862
40,0.5409399,0.6944444,0.7477558
41,0.5324489,0.7048611,0.7432675
42,0.5304094,0.6979167,0.7468582
43,0.52838284,0.7013889,0.7459605
44,0.5296552,0.6909722,0.7513465
45,0.5305005,0.7118056,0.7414722
46,0.53011304,0.6840278,0.7468582
47,0.5298526,0.6840278,0.74236983
48,0.52828205,0.6875,0.7486535
49,0.5295396,0.6736111,0.7522442
50,0.5331967,0.6701389,0.7468582
51,0.5333415,0.6840278,0.7477558
52,0.5281119,0.6979167,0.7468582
53,0.5243696,0.6875,0.7477558
54,0.5265673,0.6631944,0.73698384
55,0.5219261,0.6875,0.7522442
56,0.51969934,0.6770833,0.7540395
57,0.52414656,0.6666667,0.7522442
58,0.52191085,0.6597222,0.7477558
59,0.5236425,0.6805556,0.7540395
60,0.524415,0.6979167,0.7513465
61,0.52353615,0.6909722,0.7432675
62,0.52646965,0.6840278,0.7504488
63,0.52454406,0.6805556,0.7540395
64,0.52212465,0.6944444,0.7549372
65,0.52414405,0.6631944,0.7504488
66,0.529127,0.6805556,0.7531418
67,0.5248596,0.6944444,0.7477558
68,0.5245697,0.6666667,0.7522442
69,0.527565,0.6631944,0.7558348
70,0.5244708,0.6770833,0.7549372
71,0.52069324,0.6840278,0.7441652
72,0.52565485,0.6805556,0.7540395
73,0.5262633,0.6631944,0.7495512
74,0.5257972,0.6736111,0.7522442
75,0.5350709,0.6631944,0.7477558
76,0.52121085,0.6909722,0.7540395
77,0.51992655,0.6944444,0.7540395
78,0.52579576,0.6701389,0.7513465
79,0.51995414,0.7048611,0.7513465
80,0.5239438,0.6805556,0.7558348
81,0.52722776,0.6631944,0.7558348
82,0.5219893,0.6979167,0.7567325
83,0.51947343,0.6840278,0.7585278
84,0.519901,0.6701389,0.7585278
85,0.5124616,0.6875,0.7549372
86,0.5144715,0.6597222,0.7549372
87,0.50862575,0.6770833,0.7549372
88,0.5110658,0.6805556,0.75763017
89,0.5111152,0.6840278,0.7522442
90,0.5075038,0.6875,0.7558348
91,0.5080296,0.6736111,0.75763017
92,0.50927114,0.6770833,0.7540395
93,0.5054218,0.6840278,0.7558348
94,0.50965494,0.6944444,0.7558348
95,0.51067203,0.6909722,0.75763017
96,0.5111501,0.6597222,0.7549372
97,0.5052602,0.6840278,0.7540395
98,0.5027206,0.6840278,0.75763017
99,0.5071462,0.6631944,0.76032317
