Idx,Losses,AccTest,AccTrain
0,0.62778467,0.6493056,0.6552962
1,0.5859948,0.71875,0.73429084
2,0.55931795,0.7256944,0.7360862
3,0.54860455,0.7430556,0.7378815
4,0.5477595,0.7256944,0.7351885
5,0.54133505,0.7291667,0.7405745
6,0.5395385,0.7152778,0.73967683
7,0.5301694,0.7291667,0.7432675
8,0.5259617,0.7465278,0.7504488
9,0.51891935,0.7465278,0.7549372
10,0.51715636,0.7430556,0.7567325
11,0.51696426,0.7152778,0.7558348
12,0.50833815,0.7430556,0.7639138
13,0.5138479,0.7152778,0.76032317
14,0.50912213,0.75,0.7639138
15,0.5084133,0.7013889,0.7719928
16,0.50339764,0.7361111,0.7692998
17,0.4941252,0.7152778,0.7863555
18,0.49173543,0.7152778,0.78186715
19,0.48566934,0.7256944,0.78725314
20,0.48299015,0.7326389,0.7890485
21,0.47694516,0.7361111,0.7989228
22,0.47473595,0.7326389,0.7998205
23,0.474784,0.7118056,0.78725314
24,0.46921077,0.7256944,0.7971275
25,0.4651135,0.7326389,0.7935368
26,0.46877733,0.7048611,0.8078995
27,0.4575028,0.7222222,0.8007181
28,0.45156202,0.7291667,0.81328547
29,0.46821,0.71875,0.81597847
30,0.45476297,0.7291667,0.8007181
31,0.44085044,0.7361111,0.8249551
32,0.44499496,0.7152778,0.8231598
33,0.4269983,0.7430556,0.81777376
34,0.42832705,0.7395833,0.8258528
35,0.43829206,0.7118056,0.8258528
36,0.42008927,0.7395833,0.8141831
37,0.42399588,0.7118056,0.82944345
38,0.4074758,0.7465278,0.83752245
39,0.41083682,0.7291667,0.84021544
40,0.4069921,0.7291667,0.8366248
41,0.43098298,0.7152778,0.8330341
42,0.3998825,0.7326389,0.82675046
43,0.39599845,0.7291667,0.8366248
44,0.39676198,0.7256944,0.85098743
45,0.38754442,0.7291667,0.8599641
46,0.386513,0.7326389,0.8581688
47,0.38836616,0.7048611,0.8581688
48,0.37459642,0.7222222,0.8635548
49,0.37723956,0.71875,0.8635548
50,0.36871612,0.7152778,0.8590664
51,0.37041238,0.7465278,0.8572711
52,0.3705012,0.7152778,0.86804307
53,0.37258667,0.7152778,0.8635548
54,0.37211326,0.7465278,0.8572711
55,0.3788989,0.7326389,0.8572711
56,0.36571026,0.7222222,0.87342906
57,0.35949183,0.71875,0.87612206
58,0.36093056,0.7256944,0.8671454
59,0.36546552,0.7222222,0.8752244
60,0.35398006,0.7326389,0.88779175
61,0.3439043,0.7222222,0.87971276
62,0.34118685,0.7256944,0.88779175
63,0.3385351,0.7083333,0.88150805
64,0.3246839,0.7395833,0.88509876
65,0.3304489,0.7326389,0.88240576
66,0.33486342,0.7361111,0.88958704
67,0.3257501,0.7326389,0.8976661
68,0.31832147,0.7291667,0.8859964
69,0.320551,0.71875,0.8833034
70,0.3228631,0.7291667,0.89317775
71,0.32267517,0.7395833,0.89317775
72,0.3317866,0.7430556,0.8949731
73,0.32801613,0.7430556,0.9003591
74,0.37519675,0.6909722,0.87342906
75,0.31851465,0.7430556,0.8994614
76,0.3181464,0.7361111,0.89587075
77,0.33291978,0.7222222,0.88509876
78,0.32269123,0.7569444,0.8779174
79,0.330984,0.7256944,0.8833034
80,0.31473544,0.7465278,0.89317775
81,0.3067512,0.7256944,0.8976661
82,0.30818734,0.7569444,0.89587075
83,0.30969694,0.7291667,0.9057451
84,0.30285567,0.7395833,0.90933573
85,0.3063092,0.7534722,0.9057451
86,0.30232158,0.75,0.9084381
87,0.3032284,0.7222222,0.9084381
88,0.29629335,0.7395833,0.9129264
89,0.297002,0.7395833,0.90933573
90,0.29920006,0.7291667,0.9057451
91,0.31197765,0.7083333,0.9021544
92,0.28684008,0.7430556,0.9021544
93,0.29464868,0.7256944,0.8949731
94,0.28436628,0.7326389,0.9084381
95,0.29521236,0.7222222,0.9030521
96,0.28211316,0.75,0.9102334
97,0.30724606,0.7291667,0.8949731
98,0.3048522,0.7326389,0.9021544
99,0.3004003,0.7569444,0.9138241
